기간,행정구역별,20~40세비율
2014,종로구,0.303609445
2014,중구,0.313880508
2014,용산구,0.31348784
2014,성동구,0.326548006
2014,광진구,0.345616429
2014,동대문구,0.324049543
2014,중랑구,0.306985411
2014,성북구,0.30890136
2014,강북구,0.287766319
2014,도봉구,0.284362068
2014,노원구,0.283466085
2014,은평구,0.296367759
2014,서대문구,0.314834149
2014,마포구,0.34609302
2014,양천구,0.280003587
2014,강서구,0.326170914
2014,구로구,0.319339533
2014,금천구,0.309549277
2014,영등포구,0.323206845
2014,동작구,0.343058381
2014,관악구,0.381190315
2014,서초구,0.310543092
2014,강남구,0.326491226
2014,송파구,0.318975757
2014,강동구,0.310291026
2015,종로구,0.304818645
2015,중구,0.314533719
2015,용산구,0.310351782
2015,성동구,0.32454395
2015,광진구,0.344775841
2015,동대문구,0.321983072
2015,중랑구,0.303456595
2015,성북구,0.305002556
2015,강북구,0.28313289
2015,도봉구,0.281286714
2015,노원구,0.280276918
2015,은평구,0.293144547
2015,서대문구,0.314711936
2015,마포구,0.345632369
2015,양천구,0.27879389
2015,강서구,0.325158513
2015,구로구,0.312980088
2015,금천구,0.304414698
2015,영등포구,0.321430025
2015,동작구,0.338308614
2015,관악구,0.379066633
2015,서초구,0.306330303
2015,강남구,0.321581064
2015,송파구,0.315724816
2015,강동구,0.304072123
2016,종로구,0.305400131
2016,중구,0.316258584
2016,용산구,0.309654756
2016,성동구,0.325298459
2016,광진구,0.345126631
2016,동대문구,0.321337143
2016,중랑구,0.301907491
2016,성북구,0.301089431
2016,강북구,0.279715395
2016,도봉구,0.27747579
2016,노원구,0.278404515
2016,은평구,0.288687878
2016,서대문구,0.315026498
2016,마포구,0.344194102
2016,양천구,0.276288018
2016,강서구,0.324922273
2016,구로구,0.307164146
2016,금천구,0.301122307
2016,영등포구,0.319760853
2016,동작구,0.337016361
2016,관악구,0.379934057
2016,서초구,0.301390769
2016,강남구,0.315980354
2016,송파구,0.314478168
2016,강동구,0.300666041
2017,종로구,0.310099417
2017,중구,0.317906578
2017,용산구,0.314325572
2017,성동구,0.328536572
2017,광진구,0.346955933
2017,동대문구,0.321091443
2017,중랑구,0.299980619
2017,성북구,0.298849161
2017,강북구,0.277967817
2017,도봉구,0.27441268
2017,노원구,0.275249742
2017,은평구,0.285876279
2017,서대문구,0.315028244
2017,마포구,0.34349103
2017,양천구,0.272928605
2017,강서구,0.326721523
2017,구로구,0.301642589
2017,금천구,0.302125125
2017,영등포구,0.321605178
2017,동작구,0.335393752
2017,관악구,0.383031085
2017,서초구,0.296400322
2017,강남구,0.309973051
2017,송파구,0.314531425
2017,강동구,0.297750245
2018,종로구,0.312894876
2018,중구,0.324286862
2018,용산구,0.319449998
2018,성동구,0.331362592
2018,광진구,0.349040459
2018,동대문구,0.325115689
2018,중랑구,0.298708554
2018,성북구,0.299110763
2018,강북구,0.276298716
2018,도봉구,0.271814055
2018,노원구,0.27460413
2018,은평구,0.285435113
2018,서대문구,0.317299121
2018,마포구,0.346115918
2018,양천구,0.269792479
2018,강서구,0.325999692
2018,구로구,0.297266047
2018,금천구,0.30365206
2018,영등포구,0.325245292
2018,동작구,0.336749026
2018,관악구,0.389641181
2018,서초구,0.292754066
2018,강남구,0.305355894
2018,송파구,0.314810388
2018,강동구,0.294174847
2019,종로구,0.311758274
2019,중구,0.325596389
2019,용산구,0.32034994
2019,성동구,0.328572492
2019,광진구,0.348759578
2019,동대문구,0.326662498
2019,중랑구,0.293790918
2019,성북구,0.301050701
2019,강북구,0.271785832
2019,도봉구,0.266870462
2019,노원구,0.269376869
2019,은평구,0.284127823
2019,서대문구,0.318011208
2019,마포구,0.347222906
2019,양천구,0.264918827
2019,강서구,0.322713878
2019,구로구,0.293965692
2019,금천구,0.304594552
2019,영등포구,0.327285741
2019,동작구,0.33586444
2019,관악구,0.392782999
2019,서초구,0.287708541
2019,강남구,0.299184492
2019,송파구,0.312464024
2019,강동구,0.291539317
